Horizon,Station_1_MAE,Station_2_MAE,Station_3_MAE,Station_4_MAE,Station_5_MAE,Station_6_MAE,Station_7_MAE,Station_8_MAE,Station_9_MAE,Station_10_MAE,Station_11_MAE,Station_12_MAE,Station_13_MAE,Station_14_MAE,Station_15_MAE,Station_16_MAE,Station_17_MAE,Station_18_MAE,Station_19_MAE,Station_20_MAE,Station_21_MAE,Station_22_MAE,Station_23_MAE,Station_24_MAE,Station_25_MAE
1,0.0444,0.0512,0.0174,0.0354,0.0719,0.0580,0.0910,0.0445,0.0589,0.0528,0.0559,0.0555,0.0657,0.0769,0.0527,0.0776,0.0670,0.0747,0.0724,0.0477,0.0608,0.1042,0.0631,0.0755,0.0255
2,0.0547,0.0577,0.0186,0.0426,0.0859,0.0731,0.1125,0.0533,0.0715,0.0604,0.0689,0.0676,0.0837,0.1012,0.0634,0.1014,0.0866,0.0967,0.0962,0.0542,0.0754,0.1404,0.0723,0.0819,0.0293
3,0.0602,0.0618,0.0309,0.0463,0.0948,0.0844,0.1269,0.0589,0.0782,0.0683,0.0785,0.0741,0.0949,0.1134,0.0681,0.1106,0.1000,0.1095,0.1124,0.0563,0.0799,0.1614,0.0823,0.0822,0.0359
4,0.0631,0.0657,0.0257,0.0460,0.0942,0.0892,0.1333,0.0636,0.0835,0.0684,0.0818,0.0783,0.1001,0.1209,0.0708,0.1156,0.1098,0.1156,0.1215,0.0581,0.0831,0.1699,0.0856,0.0828,0.0354
5,0.0649,0.0686,0.0245,0.0454,0.0932,0.0929,0.1351,0.0671,0.0902,0.0678,0.0857,0.0835,0.1063,0.1274,0.0744,0.1227,0.1197,0.1260,0.1281,0.0597,0.0880,0.1780,0.0864,0.0831,0.0346
6,0.0663,0.0705,0.0244,0.0465,0.0976,0.0955,0.1371,0.0705,0.0935,0.0674,0.0896,0.0863,0.1109,0.1327,0.0767,0.1294,0.1248,0.1288,0.1348,0.0611,0.0882,0.1854,0.0891,0.0845,0.0349
7,0.0696,0.0749,0.0258,0.0487,0.1038,0.0990,0.1446,0.0729,0.0971,0.0686,0.0923,0.0874,0.1157,0.1369,0.0796,0.1352,0.1279,0.1324,0.1427,0.0632,0.0898,0.1932,0.0913,0.0877,0.0362
8,0.0710,0.0769,0.0287,0.0512,0.1040,0.1018,0.1452,0.0728,0.0991,0.0722,0.0948,0.0892,0.1167,0.1401,0.0798,0.1383,0.1281,0.1338,0.1454,0.0650,0.0917,0.1983,0.0914,0.0890,0.0384
9,0.0729,0.0767,0.0256,0.0504,0.1078,0.1034,0.1453,0.0753,0.1000,0.0688,0.0973,0.0901,0.1186,0.1436,0.0808,0.1420,0.1330,0.1377,0.1500,0.0668,0.0952,0.2034,0.0902,0.0897,0.0374
10,0.0744,0.0780,0.0261,0.0504,0.1103,0.1052,0.1474,0.0763,0.1001,0.0698,0.0992,0.0909,0.1220,0.1470,0.0808,0.1451,0.1346,0.1401,0.1532,0.0686,0.0957,0.2065,0.0881,0.0884,0.0373
11,0.0739,0.0804,0.0279,0.0501,0.1110,0.1070,0.1439,0.0786,0.1023,0.0711,0.1020,0.0910,0.1251,0.1509,0.0818,0.1459,0.1384,0.1431,0.1539,0.0700,0.0960,0.2088,0.0865,0.0859,0.0381
12,0.0760,0.0827,0.0274,0.0509,0.1134,0.1092,0.1454,0.0797,0.1029,0.0724,0.1045,0.0930,0.1270,0.1524,0.0821,0.1465,0.1402,0.1444,0.1555,0.0712,0.0964,0.2114,0.0892,0.0853,0.0383
