Horizon,Station_1_MSE,Station_2_MSE,Station_3_MSE,Station_4_MSE,Station_5_MSE,Station_6_MSE,Station_7_MSE,Station_8_MSE,Station_9_MSE,Station_10_MSE,Station_11_MSE,Station_12_MSE,Station_13_MSE,Station_14_MSE,Station_15_MSE,Station_16_MSE,Station_17_MSE,Station_18_MSE,Station_19_MSE,Station_20_MSE,Station_21_MSE,Station_22_MSE,Station_23_MSE,Station_24_MSE,Station_25_MSE
1,0.0036,0.0042,0.0011,0.0028,0.0101,0.0054,0.0143,0.0033,0.0054,0.0062,0.0051,0.0052,0.0071,0.0103,0.0047,0.0096,0.0074,0.0090,0.0093,0.0036,0.0092,0.0212,0.0071,0.0093,0.0017
2,0.0050,0.0054,0.0012,0.0042,0.0137,0.0085,0.0222,0.0047,0.0081,0.0075,0.0078,0.0075,0.0114,0.0175,0.0066,0.0159,0.0123,0.0153,0.0156,0.0049,0.0140,0.0356,0.0089,0.0108,0.0022
3,0.0062,0.0064,0.0019,0.0046,0.0149,0.0111,0.0275,0.0060,0.0099,0.0091,0.0105,0.0092,0.0150,0.0226,0.0080,0.0197,0.0169,0.0205,0.0208,0.0056,0.0167,0.0452,0.0111,0.0111,0.0026
4,0.0070,0.0074,0.0016,0.0048,0.0150,0.0129,0.0308,0.0070,0.0116,0.0093,0.0120,0.0105,0.0177,0.0265,0.0089,0.0228,0.0215,0.0252,0.0250,0.0063,0.0185,0.0512,0.0119,0.0117,0.0028
5,0.0077,0.0082,0.0016,0.0049,0.0152,0.0143,0.0330,0.0081,0.0138,0.0088,0.0139,0.0122,0.0206,0.0306,0.0100,0.0263,0.0260,0.0303,0.0292,0.0070,0.0200,0.0580,0.0122,0.0122,0.0029
6,0.0083,0.0088,0.0016,0.0051,0.0169,0.0154,0.0348,0.0089,0.0151,0.0085,0.0152,0.0133,0.0225,0.0332,0.0106,0.0290,0.0292,0.0335,0.0321,0.0074,0.0205,0.0640,0.0127,0.0123,0.0030
7,0.0090,0.0096,0.0017,0.0052,0.0189,0.0165,0.0375,0.0094,0.0163,0.0086,0.0163,0.0140,0.0242,0.0352,0.0112,0.0311,0.0314,0.0361,0.0349,0.0079,0.0209,0.0694,0.0134,0.0127,0.0031
8,0.0093,0.0100,0.0019,0.0054,0.0193,0.0172,0.0385,0.0096,0.0170,0.0094,0.0169,0.0146,0.0246,0.0364,0.0112,0.0325,0.0325,0.0374,0.0364,0.0081,0.0212,0.0727,0.0136,0.0131,0.0032
9,0.0096,0.0102,0.0016,0.0056,0.0200,0.0177,0.0383,0.0099,0.0175,0.0089,0.0178,0.0150,0.0254,0.0380,0.0117,0.0346,0.0345,0.0392,0.0386,0.0083,0.0214,0.0767,0.0137,0.0135,0.0032
10,0.0100,0.0105,0.0017,0.0055,0.0207,0.0182,0.0389,0.0102,0.0179,0.0089,0.0183,0.0150,0.0265,0.0395,0.0119,0.0359,0.0357,0.0406,0.0402,0.0087,0.0215,0.0788,0.0131,0.0132,0.0031
11,0.0098,0.0112,0.0017,0.0054,0.0209,0.0186,0.0386,0.0106,0.0183,0.0088,0.0193,0.0152,0.0278,0.0414,0.0123,0.0367,0.0370,0.0417,0.0412,0.0089,0.0219,0.0798,0.0129,0.0125,0.0031
12,0.0102,0.0117,0.0017,0.0054,0.0217,0.0198,0.0391,0.0111,0.0188,0.0089,0.0201,0.0158,0.0289,0.0431,0.0128,0.0376,0.0382,0.0430,0.0424,0.0093,0.0222,0.0820,0.0134,0.0123,0.0032
